route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
451,0#18,0#1785-10,"CINECITTA' (MA)","17451807",0,"",11574,0,0
451,0#18,0#1785-11,"PONTE MAMMOLO (MB)","17451808",1,"",11573,0,0
451,0#18,0#1785-12,"CINECITTA' (MA)","17451809",0,"",11574,0,0
451,0#18,0#1785-13,"PONTE MAMMOLO (MB)","17451833",1,"",11573,0,0
451,0#18,0#1785-14,"CINECITTA' (MA)","17451812",0,"",11574,0,0
451,0#18,0#1785-15,"PONTE MAMMOLO (MB)","17451819",1,"",11573,0,0
451,0#18,0#1785-16,"CINECITTA' (MA)","17451820",0,"",11574,0,0
451,0#18,0#1785-17,"PONTE MAMMOLO (MB)","17451821",1,"",11573,0,0
451,0#18,0#1785-18,"CINECITTA' (MA)","17451824",0,"",11574,0,0
451,0#18,0#1785-19,"PONTE MAMMOLO (MB)","17451822",1,"",11573,0,0
451,0#18,0#1785-20,"CINECITTA' (MA)","17451825",0,"",11574,0,0
451,0#18,0#1785-21,"PONTE MAMMOLO (MB)","17451823",1,"",11573,0,0
451,0#18,0#1785-22,"CINECITTA' (MA)","17451817",0,"",11574,0,0
451,0#18,0#1785-23,"PONTE MAMMOLO (MB)","17451813",1,"",11573,0,0
451,0#18,0#1785-24,"CINECITTA' (MA)","17451816",0,"",11574,0,0
451,0#18,0#1785-25,"PONTE MAMMOLO (MB)","17451814",1,"",11573,0,0
451,0#18,0#1785-26,"CINECITTA' (MA)","17451818",0,"",11574,0,0
451,0#18,0#1785-27,"PONTE MAMMOLO (MB)","17451815",1,"",11573,0,0
451,0#18,0#1785-28,"CINECITTA' (MA)","17451827",0,"",11574,0,0
451,0#18,0#1785-29,"PONTE MAMMOLO (MB)","17451826",1,"",11573,0,0
451,0#1,0#1786-2,"CINECITTA' (MA)","22374452",0,"",700094,0,0
451,0#1,0#1786-3,"PONTE MAMMOLO (MB)","22374457",1,"",11573,0,0
451,0#1,0#1786-4,"CINECITTA' (MA)","22374474",0,"",11574,0,0
451,0#1,0#1786-5,"PONTE MAMMOLO (MB)","22374458",1,"",11573,0,0
451,0#1,0#1786-6,"CINECITTA' (MA)","22374475",0,"",11574,0,0
451,0#1,0#1786-7,"PONTE MAMMOLO (MB)","22374459",1,"",11573,0,0
451,0#1,0#1786-8,"CINECITTA' (MA)","22374476",0,"",11574,0,0
451,0#1,0#1786-9,"PONTE MAMMOLO (MB)","22374460",1,"",11573,0,0
451,0#1,0#1786-10,"CINECITTA' (MA)","22374477",0,"",11574,0,0
451,0#1,0#1786-11,"PONTE MAMMOLO (MB)","22374461",1,"",11573,0,0
451,0#1,0#1786-12,"CINECITTA' (MA)","22374478",0,"",11574,0,0
451,0#1,0#1786-13,"PONTE MAMMOLO (MB)","22374462",1,"",11573,0,0
451,0#1,0#1786-14,"CINECITTA' (MA)","22374479",0,"",11574,0,0
451,0#1,0#1786-15,"PONTE MAMMOLO (MB)","22374463",1,"",11573,0,0
451,0#1,0#1786-16,"CINECITTA' (MA)","22374446",0,"",11574,0,0
451,0#1,0#1786-17,"PONTE MAMMOLO (MB)","22374464",1,"",11573,0,0
451,0#1,0#1786-18,"CINECITTA' (MA)","22374447",0,"",11574,0,0
451,0#1,0#1786-19,"PONTE MAMMOLO (MB)","22374465",1,"",11573,0,0
451,0#1,0#1786-20,"CINECITTA' (MA)","22374448",0,"",11574,0,0
451,0#1,0#1786-21,"PONTE MAMMOLO (MB)","22374466",1,"",11573,0,0
451,0#1,0#1786-22,"CINECITTA' (MA)","22374449",0,"",11574,0,0
451,0#1,0#1786-23,"PONTE MAMMOLO (MB)","22374467",1,"",11573,0,0
451,0#1,0#1786-24,"CINECITTA' (MA)","22374450",0,"",11574,0,0
451,0#1,0#1786-25,"PONTE MAMMOLO (MB)","22374468",1,"",11573,0,0
451,0#1,0#1786-26,"CINECITTA' (MA)","22374451",0,"",11574,0,0
451,0#1,0#1786-27,"PONTE MAMMOLO (MB)","22374469",1,"",11573,0,0
451,0#1,0#1786-28,"CINECITTA' (MA)","22374470",0,"",11574,0,0
451,0#1,0#1786-29,"PONTE MAMMOLO (MB)","22374453",1,"",11573,0,0
451,0#1,0#1786-30,"CINECITTA' (MA)","22374471",0,"",11574,0,0
451,0#1,0#1786-31,"PONTE MAMMOLO (MB)","22374454",1,"",11573,0,0
451,0#1,0#1786-32,"CINECITTA' (MA)","22374472",0,"",11574,0,0
451,0#1,0#1786-33,"PONTE MAMMOLO (MB)","22374455",1,"",11573,0,0
451,0#1,0#1786-34,"CINECITTA' (MA)","22374473",0,"",11574,0,0
451,0#1,0#1786-35,"PONTE MAMMOLO (MB)","22374456",1,"",11573,0,0
451,0#29,0#1787-2,"PONTE MAMMOLO (MB)","22386854",1,"",700095,0,0
451,0#29,0#1787-3,"CINECITTA' (MA)","22386862",0,"",11574,0,0
451,0#29,0#1787-4,"PONTE MAMMOLO (MB)","22386858",1,"",11573,0,0
451,0#29,0#1787-5,"CINECITTA' (MA)","22386839",0,"",11574,0,0
451,0#29,0#1787-6,"PONTE MAMMOLO (MB)","22386830",1,"",11573,0,0
451,0#29,0#1787-7,"CINECITTA' (MA)","22386840",0,"",11574,0,0
451,0#29,0#1787-8,"PONTE MAMMOLO (MB)","22386831",1,"",11573,0,0
451,0#29,0#1787-9,"CINECITTA' (MA)","22386841",0,"",11574,0,0
451,0#29,0#1787-10,"PONTE MAMMOLO (MB)","22386833",1,"",11573,0,0
451,0#29,0#1787-11,"CINECITTA' (MA)","22386843",0,"",11574,0,0
451,0#29,0#1787-12,"PONTE MAMMOLO (MB)","22386834",1,"",11573,0,0
451,0#29,0#1787-13,"CINECITTA' (MA)","22386847",0,"",11574,0,0
451,0#29,0#1787-14,"PONTE MAMMOLO (MB)","22386832",1,"",11573,0,0
451,0#29,0#1787-15,"CINECITTA' (MA)","22386842",0,"",11574,0,0
451,0#29,0#1787-16,"PONTE MAMMOLO (MB)","22386860",1,"",11573,0,0
451,0#29,0#1787-17,"CINECITTA' (MA)","22386861",0,"",11574,0,0
451,0#29,0#1787-18,"PONTE MAMMOLO (MB)","22386835",1,"",11573,0,0
451,0#29,0#1787-19,"CINECITTA' (MA)","22386848",0,"",11574,0,0
451,0#29,0#1787-20,"PONTE MAMMOLO (MB)","22386836",1,"",11573,0,0
451,0#29,0#1787-21,"CINECITTA' (MA)","22386849",0,"",11574,0,0
451,0#29,0#1787-22,"PONTE MAMMOLO (MB)","22386837",1,"",11573,0,0
451,0#29,0#1787-23,"CINECITTA' (MA)","22386850",0,"",11574,0,0
451,0#29,0#1787-24,"PONTE MAMMOLO (MB)","22386844",1,"",11573,0,0
